"10317.000070709.48090",4352,18,438,1116,151,42222,1959,7,123,0,122,20,13,0,39,22,12,0,14,1,1,4,1,6,6,3,103,94,12,101,0,1,12,2,1,0,1,0,6,2
"10317.000084381.48093",4049,35,2753,4682,457,24,691,0,39,0,22,331,335,0,0,4,248,14,225,5,0,0,0,4,2,1,58,0,849,77,25,5,6,7,1,0,0,0,0,0
"10317.000084607.66115",311116,3452,9039,103878,4107,5361,108228,203,286,35,2346,3109,995,30057,167,18,9058,152,2496,74,374,103,52,98,37,195,312,13,813,2638,116,3,1283,203,33,49,99,27,0,69
"10317.000066828.48078",0,793,2,54,1,2,2250,0,4,0,12,2,2,0,0,35,7022,3,24,0,0,0,0,459,5,976,0,0,0,0,30,0,0,301,1465,1,0,1,835,0
"10317.000109232.81179",7342,7,4350,6327,1006,805,72,41,395,1,503,1,16,443,2,2,17,457,52,9,307,190,92,0,57,0,189,1,4,44,1,0,42,0,0,0,0,0,0,0
"10317.000108972.81179",626,2,1644,11644,242,57402,14,0,562,0,104,54,0,6,4,10,80,4,288,10,56,2,0,0,254,6,24,0,8,284,0,0,100,12,2,6,0,0,0,38
"10317.000039818.48007",2125,2,515,605,82,5488,17,3,9,54,366,10,0,39,1169,6,1,0,6,1,524,190,44,0,0,0,8,0,0,14,0,0,76,1,0,0,0,0,0,0
"10317.000085086.66115",395009,1340,16213,179220,7950,6640,24249,180,1312,47,316,5211,274,123,237,14,924,132,9842,64,5973,100,57,5,60,18,6397,17,48,3691,243,1,1854,157,29,43,83,26,0,81
"10317.000068174.48078",5676,28,5272,4596,794,6,424,2,202,256,2713,1022,33,475,0,4,33,903,154,28,1643,350,0,4,9,4,86,2,2,29,0,10,17,31,0,0,0,0,5,0
"10317.000068176.48064",6191,130,4542,3537,712,8,888,3,206,157,1203,204,6,211,0,0,16,4240,105,4,584,277,1,2,2,1,130,2,2,23,2,0,10,5,1,0,0,1,0,0
"10317.000046257.48065",1795,96,8062,4747,1680,7210,131,1399,218,0,256,4,1,10,1469,195,1,532,163,647,583,185,229,0,9,1,174,0,0,276,0,1,89,1,0,0,1075,0,0,0
"10317.000047465.48089",14444,9,9355,7479,1019,58,509,20,315,63,248,310,1,366,35,4,10,1,9,2,88,356,25,0,0,2,0,1,2,143,0,0,133,0,0,25,1,0,0,1
"10317.000058425.48038",9,348,1999,8729,1773,3974,76,1,3440,0,3,4435,3,0,2,7,7,21,798,1,3,0,0,2,5,15,1,0,2167,344,0,2,261,9,4,0,547,0,7,0
"10317.000066825.48078",13,149,13,36,4,191,368,28,9,0,54,18,729,0,251,974,5954,24,4,0,2,0,0,761,2163,1975,0,1901,62,33,93,600,27,334,1020,10,0,2,1303,0
"10317.000107229.76893",5860,3776,13704,14128,3114,88,146,4,962,2,166,2276,0,16,6,0,16,668,320,48,896,62,0,2,0,0,6,6,0,258,2,0,250,0,0,0,2,2,2,48
"10317.000066834.48065",117,19031,2225,1635,531,124,215,2,110,0,30,39,11,230,2,1,5,2704,107,24,5,1,0,0,17,12,24,0,16,132,0,0,465,3,2,0,75,172,0,99
"10317.000067690.48085",7733,57,5465,3213,424,187,95,8,148,74,790,119,7,190,0,0,6,0,79,24,513,0,51,0,2,2,92,0,0,18,0,0,129,1,0,0,1,0,0,1
"10317.000028164.48014",3318,241,6782,3091,1503,5,93,46,155,58,985,37,0,137,0,0,12,196,19,108,1152,157,1,3,2,1,162,2,0,326,0,0,61,4,3,32,1377,119,0,806
"10317.000071603.50458",4342,44,3738,30457,1194,15523,3076,24,329,2,1484,3756,1279,28,78,364,2165,36,2058,23,755,4,229,27,486,46,476,6,1797,1170,13,9,1220,324,23,1,2,1,19,44
"10317.000023638.55074",1715,2366,1090,724,18,7302,90,40,30,50,126,31,4,10,0,0,0,737,35,1,334,82,0,0,1,0,2,0,0,4,0,0,35,1,0,0,0,0,0,173
"10317.000060004.48064",11297,5171,8923,7130,779,16,173,710,130,62,1545,5,8,142,4,0,60,2,16,8,360,74,54,1,9,1,76,1,5,66,3,0,35,6,0,0,0,106,0,144
"10317.000085142.66115",260901,915,54474,62145,2124,3468,98401,69705,511,2807,25434,2250,475,5291,167,8,271,105,2864,832,8751,484,46,2,26,11,2653,8,41,1275,28,1,762,128,24,44,89,20,0,73
"10317.000085143.66115",182094,145634,224814,111810,155934,8146,37030,34862,7766,3314,42086,57036,51306,44886,366,178,806,40368,13940,3870,13184,15912,21818,16,2460,38,6938,26,62,1144,62,8,3810,1382,8,146,198,64,0,268
"10317.000084288.48093",8129,261,15388,7495,2829,6631,194,18,258,0,499,570,6,142,1,4,10,0,95,30,137,189,0,1,124,3,59,2,14,125,1,0,70,2,0,0,160,3,2,1
"10317.000059930.48065",17145,8457,1528,1928,62,160,6206,5,188,0,1264,149,1,2,2,0,1,1229,45,0,296,1,0,0,4,0,41,0,5,257,1,1,5,0,0,1,0,0,0,0
"10317.000084192.48093",14126,16,262,5982,71,45,1312,4,180,0,1729,1336,17,1334,5,1,8,2,114,0,25,0,1,0,0,4,356,7,3,38,9,0,1,2,0,2,1,1,3,0
"10317.000059933.48093",524,2,54,517,8,13384,7,4,4,0,130,1,0,0,1,0,0,1,1,0,0,10,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0
"10317.000038227.48014",3830,1843,3536,4372,4315,835,410,1974,318,116,719,97,0,13,1,1,26,119,105,337,1826,224,24,1,4,1,60,0,6,145,0,2,14,2,0,0,1886,219,0,0
