"10317.000039931.48006",10,214,12,63,12,20,377,0,5,0,880,1,147,0,0,32,4011,45,7,0,0,0,0,5966,117,4547,2,2,9,48,1330,0,0,17,232,1,6,12,14746,0
"10317.000038025.48015",134,458,1923,727,150,12991,305,3,140,9,112,6,630,3,190,20,13,12,18,5,2,1,0,74,49,11,2,18,16,53,0,0,66,50,0,0,1,38,0,4
"10317.000076489.54640",1922,12,271,166,301,15348,87,10,15,0,57,12,1,0,41,1,21,1,19,4,115,9,0,2,1,54,6,2,0,41,0,0,15,0,1,2,47,0,1,1
"10317.000054196.48077",2200,434,1119,706,4391,19525,109,2,40,15,855,2388,2,11,11,0,2,3,95,11,614,231,1,0,0,13,37,0,316,314,4,0,36,3,6,0,135,0,0,1
"10317.000108634.71225",5707,72,6979,5308,380,25,245,2,407,5,527,37,1001,212,0,0,6,0,58,2,276,212,0,0,301,6,5,0,3,23,7,0,6,17,0,0,0,0,1,9
"10317.000093570.56081",472,2,442,114,90,12513,23,418,6,0,40,9,1,67,191,0,0,0,13,1,357,82,30,5,1,0,18,0,3,4,0,0,17,4,0,0,88,0,0,5
"10317.000110434.76893",10467,39,3412,1796,324,222,152,0,75,1,957,149,41,29,3,0,74,1,45,0,407,0,0,0,1,15,0,1,39,155,0,0,32,3,0,0,0,0,0,0
"10317.000069862.50473",2782,5,1873,2913,1546,10112,295,719,184,0,122,3,2,48,4648,16,21,0,19,94,385,35,0,4,126,0,91,0,67,17,0,0,91,0,0,1,25,0,1,14
"10317.000065451.48064",388,6,1836,310,592,23873,490,1600,1,11,54,18,2,15,7,1,3,0,15,140,470,41,1,2,0,7,9,7,1,77,0,0,125,1,0,0,9,54,0,0
"10317.000038110.48001",2247,988,1094,1194,141,6597,256,22,33,16,104,640,55,0,2,2,94,0,44,0,504,201,0,4,13,19,5,12,86,177,2,0,19,4,16,2,0,0,1,0
"10317.000042837.64038",1125,2,1861,703,546,5259,51,7,21,0,248,35,0,79,0,0,6,97,11,39,356,207,371,0,1,0,96,0,0,84,1,0,74,0,0,0,62,0,1,59
"10317.000065699.48077",4261,22,939,752,104,1739,150,53,80,51,726,2,27,2,1,8,1,0,23,7,111,0,0,0,0,0,62,0,9417,8,1,0,16,11,0,0,0,0,0,2
"10317.000079815.48093",7997,683,12976,14556,861,482,524,384,79,0,523,226,5,56,4,0,633,624,47,11,186,3,0,3,1,14,12,3,26,74,0,1,8,4,0,0,0,0,3,0
"10317.000069174.48082",8849,25,729,4738,232,519,3114,1,709,7,4665,1,584,7,3,0,218,0,469,1,4,0,1,0,5,0,695,1,17,101,2,0,520,3,0,0,0,0,0,0
"10317.000069174.48077",8849,25,729,4738,232,519,3114,1,709,7,4665,1,584,7,3,0,218,0,469,1,4,0,1,0,5,0,695,1,17,101,2,0,520,3,0,0,0,0,0,0
"10317.000097251.54640",1903,101,5612,5889,2483,2503,14,0,52,0,70,76,25,88,2,11,5,0,17,8,230,141,323,2,43,2,16,0,1,432,1,0,39,0,0,0,159,0,0,0
"10317.000065775.48089",3604,21,6666,8146,4342,100,617,198,213,18,286,72,7,6,11,0,33,2,57,328,414,116,54,0,0,0,20,0,17,62,0,0,16,4,2,2,282,0,0,687
"10317.000074504.81179",5787,33,2474,1698,153,2693,48,50,171,0,13,50,0,11,4924,1,7,1,18,10,130,82,3,0,1,0,118,2,0,58,0,0,55,0,0,28,0,0,0,0
"10317.000102903.66115",37093,538,35818,21062,3952,332030,4546,690,2231,94,2039,2036,159,416,288,11,137,77,178,2266,2454,670,99,8,28,23,1952,14,15,870,25,6,815,26,4,63,1558,24,0,72
"10317.000036403.48049",2428,2183,4454,2787,161,34,3196,0,112,25,438,607,0,19,41,0,41,0,166,6,396,2,0,0,1,12,111,0,0,84,72,0,24,1,2,10,1,2,0,8
"10317.000053492.48041",3379,1619,4722,2781,3707,1736,2060,75,83,2,529,1,2,11,0,0,136,1762,214,18,58,0,4,1,0,289,53,0,0,78,0,0,214,0,1,0,332,0,0,205
"10317.000031512.48093",8369,15,4357,5776,1188,20,56,5,71,1,876,30,111,191,3,1,28,1,10,12,336,28,0,1,6,9,10,2,1,144,0,19,42,20,0,0,1,968,1,0
